Initial population weights = [340.83369838405343, 311.48742796483504, 402.0274534627699, 431.62794339231596, 266.521732950988, 376.0371356903819, 259.4497993315531, 263.2432565995895, 293.84275895460223, 405.69844758566063, 385.6271273259871, 319.52013222341, 318.4559134633632, 376.81750273472767, 351.1984690522359, 225.71510643950353, 351.63141765770695, 317.88355879542877, 508.38341816151734, 338.5556006574324]
Initial population fitness = 0.006844557900828064
Number to retain = 20
Generation 0 fitness  = 0.0068
Generation 1 fitness  = 0.0076
Generation 2 fitness  = 0.0084
Generation 3 fitness  = 0.009
Generation 4 fitness  = 0.0095
Generation 5 fitness  = 0.0097
Generation 6 fitness  = 0.0099
Generation 7 fitness  = 0.0099
Generation 8 fitness  = 0.01
Generation 9 fitness  = 0.0101
Generation 10 fitness  = 0.0103
Generation 11 fitness  = 0.0104
Generation 12 fitness  = 0.0105
Generation 13 fitness  = 0.0105
Generation 14 fitness  = 0.0106
Generation 15 fitness  = 0.0109
Generation 16 fitness  = 0.0113
Generation 17 fitness  = 0.012
Generation 18 fitness  = 0.0125
Generation 19 fitness  = 0.0127
Generation 20 fitness  = 0.0129
Generation 21 fitness  = 0.013
Generation 22 fitness  = 0.013
Generation 23 fitness  = 0.0132
Generation 24 fitness  = 0.0137
Generation 25 fitness  = 0.0141
Generation 26 fitness  = 0.0145
Generation 27 fitness  = 0.0146
Generation 28 fitness  = 0.0148
Generation 29 fitness  = 0.0151
Generation 30 fitness  = 0.0155
Generation 31 fitness  = 0.0158
Generation 32 fitness  = 0.0163
Generation 33 fitness  = 0.0165
Generation 34 fitness  = 0.0166
Generation 35 fitness  = 0.0167
Generation 36 fitness  = 0.0167
Generation 37 fitness  = 0.0167
Generation 38 fitness  = 0.0168
Generation 39 fitness  = 0.0167
Generation 40 fitness  = 0.0168
Generation 41 fitness  = 0.0168
Generation 42 fitness  = 0.0168
Generation 43 fitness  = 0.017
Generation 44 fitness  = 0.0172
Generation 45 fitness  = 0.0177
Generation 46 fitness  = 0.0184
